ingredient_name,rating,functions,benefits
Santalum Album Seed Extract,AVERAGE,"Latin name for sandalwood extract, which is used in cosmetics as a fragrance. It can have antioxidant properties. It also can be a skin sensitizer.",
Saxifraga Sarmentosa Extract,AVERAGE,Plant extract with potential antioxidant benefits for skin.,
Serenoa Serrulata Extract,AVERAGE,Latin name for saw palmetto. There's no research showing topical application of this plant can benefit skin.,Soothing
Siegesbeckia Orientalis,AVERAGE,Chinese herb (also known as St. Paul's wort) for which there is no research showing that it has any benefit for skin.,
Siegesbeckia Orientalis Extract,AVERAGE,Chinese herb (also known as St. Paul's wort) for which there is no research showing that it has any benefit for skin.,
Silver Chloride,AVERAGE,An inorganic salt that has no known function in cosmetics.,
Slippery Elm Bark,AVERAGE,Plant that can be a good skin-soothing agent but can also be an allergen if used in high amounts.,"Soothing, Anti-Aging"
Sodium Anisate,AVERAGE,Sodium salt of the plant metabolite p-anisic acid used as a preservative.,
Sodium Bicarbonate,AVERAGE,"A synthetic inorganic salt more commonly known as baking soda. It has many functions in cosmetics, including pH adjuster, buffering agent, and abrasive, such as in face or body scrubs.",
Sodium Bisulfite,AVERAGE,Used in acid-type permanent waves to alter the shape of hair. It can be a skin sensitizer.,
Sodium Chloride,AVERAGE,"Better known as salt, this ingredient is primarily used to thicken skin and hair care formulations. It also functions as a binding agent and sometimes a scrub particle in physical exfoliants.",
Sodium Coco Sulfate,AVERAGE,Cleansing agent that also assists in foam creation. Often used as an alternative to sodium lauryl sulfate.,
Sodium Formate,AVERAGE,Preservative and buffering agent used in cosmetic formulations to help prolong shelf life and balance the pH of formulas.,
Sodium Hydroxide,AVERAGE,"Also known as lye, this ingredient is highly alkaline, meaning it is on the basic side of the pH range (its pH is naturally 13). It is used in small amounts in cosmetics (such as cleansers and exfoliants) adjust their pH.",
Sodium Hydroxymethylglycinate,AVERAGE,Amino acid derivative used as a skin-softening agent; can also function as a preservative.,Hydration
Sodium Lactobionate,AVERAGE,"White, crystalline powder used to synthesize other chemicals. May function as a preservative in...",
Sodium Lauryl Sulfoacetate,AVERAGE,Mild cleansing agent noted for its foaming properties.,
Sodium Metabisulfite,AVERAGE,"Plays a multitasking role as a preservative, stabilizer, and antioxidant.",
Sodium Palmitate,AVERAGE,This sodium salt of palmitic acid can be drying to skin when formulated in a cleanser.,
Sodium Salicylate,AVERAGE,"Salt form of salicylic acid (BHA). Because it is not the acid form of salicylate (i.e., salicylic...",
Sodium Stearate,AVERAGE,Cleansing/emulsifying agent that can also be used to adjust the viscosity and stiffness of cosmetic formulations. It might contribute to a pore-clogging residue on skin.,
Sodium Sulfite,AVERAGE,"Reducing agent that alters the structure of hair. It can also be used as a preservative in cosmetic formulations, and can be a skin sensitizer.",
Solanum Lycopersicum Extract,AVERAGE,Extract that has weak antioxidant properties. May be a potential skin sensitizer.,
Sorbitan Oleate Decylglucoside Crosspolymer,AVERAGE,"Surfactant with cleansing, emulsifying, and foaming properties. Can also be used to solubilize fragrance ingredients in a formulation.",
St. John's Wort,AVERAGE,Contains several components that are harmful to skin in the presence of sunlight.,
Succinoglycan,AVERAGE,"A natural polysaccharide derived from soil bacteria. Not widely used in cosmetics, but can help enhance texture and help emulsify.",
Sugarcane Extract,AVERAGE,"Ingredients like sugarcane extract, fruit extracts, mixed fruit extracts, and milk solids may claim an association with AHAs, but they are not the same thing nor do they have the same beneficial effect on skin.",Hydration
Talc,AVERAGE,"Naturally occurring mineral composed of magnesium, hydrogen, oxygen, and silicon which combine to form what's known as anhydrous (contains no water) magnesium silicate.",Oil Control
Tanacetum Parthenium (Feverfew),AVERAGE,"Can be very soothing or potentially sensitizing to skin, depending on which components of the plant are included.",
TBHQ,AVERAGE,This derivative of hydroquinone is used as a cosmetic preservative and has been ruled safe in its current use.,
TEA,AVERAGE,"Used in cosmetics as a pH balancer. Like all amines, it has the potential for creating nitrosamines.",
Tea Tree Oil,AVERAGE,"Tea tree oil contains volatile components (such as linalool, limonene, and eucalyptol) that can be sensitizing to skin.",Anti-Acne
Thiamine HCL,AVERAGE,Vitamin B1. There is no research showing this to be effective when applied topically on skin.,Anti-Aging
Thiodipropionic Acid,AVERAGE,"Acid-based synthetic antioxidant. There is no research pertaining to its benefit for skin, but in theory, and when stably packaged, it should exert an antioxidant effect when applied topically.",Anti-Aging
Thyme Extract,AVERAGE,Extract derived from the leaf or flower of the thyme plant. It can have potent antioxidant properties but may also cause skin sensitivity due to fragrant components.,
Thymus Hydrolysate,AVERAGE,Has hydrating properties for skin.,Hydration
Thymus Serpillum Extract,AVERAGE,Extract of wild thyme.,
Thymus Vulgaris,AVERAGE,Derived from the leaf or flower of the thyme plant. It can have potent antioxidant properties but may also cause skin sensitivity due to fragrant components.,
Thymus Vulgaris (Thyme) Extract,AVERAGE,Extract derived from the leaf or flower of the thyme plant. It can have potent antioxidant properties but may also cause skin sensitivity due to fragrant components.,
Tomato Extract,AVERAGE,Extract that has weak antioxidant properties. May be a potential skin sensitizer.,
Triethanolamine,AVERAGE,"Used in cosmetics as a pH balancer. Like all amines, it has the potential for creating nitrosamines.",
Tromethamine,AVERAGE,pH adjusting ingredient used to help neutralize acidic formulas and ingredients.,
Ulmus Fulva Bark Extract,AVERAGE,Plant that can be a good skin-soothing agent but can also be an allergen if used in high amounts.,"Soothing, Anti-Aging"
Ultramarines,AVERAGE,Inorganic pigments (of various colors) permanently listed by the FDA for external use only.,
Ulva Lactuca Extract,AVERAGE,"Extract from the plant known as sea lettuce, it has some soothing and antioxidant properties for skin.","Soothing, Anti-Aging"
Urtica Dioica,AVERAGE,Plant extract that may have soothing properties.,"Hydration, Soothing"
Urtica Dioica (Nettle) Extract,AVERAGE,Plant extract that may have soothing properties.,"Hydration, Soothing"
Vegetable Collagen,AVERAGE,"A term loosely interpreted by skin care brands, referring to plant-based ingredients that are intended to mimic animal-sourced collagen.",
Viola Tricolor Extract,AVERAGE,Plant extract for which there is a small amount of research showing it has skin soothing and antioxidant properties.,Anti-Aging
Vitamin B1,AVERAGE,There is no research showing this to be effective when applied topically on skin.,Anti-Aging
Vitamin B2,AVERAGE,"Also known as riboflavin, research backing skin benefits for this ingredient are lacking.",
Vitamin B6,AVERAGE,There is no research showing it to have benefit for skin.,Anti-Aging
Vitamin H,AVERAGE,"Also known as biotin, this water-soluble vitamin produced in the body is considered part of the B complex group of vitamins.",Anti-Aging
Walnut Extract,AVERAGE,Extract that can have antioxidant properties.,Anti-Aging
White Nettle,AVERAGE,Contains components that can have both soothing and sensitizing properties.,Anti-Aging
Yellow 5,AVERAGE,Coloring agent/pigment that is used to adjust the hue of cosmetic formulas.,
Yellow 5 Lake,AVERAGE,"Yellow 5 lake is synthetic coloring agent approved for use in foods, drugs and cosmetics.",
Yellow 6 Lake,AVERAGE,A pigment that is FDA-approved for use in cosmetics and food products.,
Yogurt,AVERAGE,There's limited research showing that yogurt is effective when applied topically.,"Hydration, Soothing"
Yucca Extract,AVERAGE,Plant extract that can have soothing benefits.,Soothing
Yucca Schidigera,AVERAGE,"The Latin name for yucca, this plant can have antioxidant and soothing benefits for skin.",Soothing
Yucca Schidigera Leaf/Root/Stem Extract,AVERAGE,Plant extract that can have soothing benefits.,Soothing
Zea Mays (Corn) Kernel Meal,AVERAGE,"This ingredient, also known as cornmeal, is used in cosmetics as a bulking agent and physical exfoliant",
Zingiber Officinale Roscoe,AVERAGE,"The extract form of this plant, also known as ginger, is generally considered non-volatile (non-irritating) while the oil form contains over 50 such components with potential to aggravate skin.",Soothing
Acetic Acid,BAD,This type of acid is a major component of vinegar and can cause skin irritation.,
Alkyloamides,BAD,"Identified on skin care product labels as DEA, triethanolamine (TEA), and monoethanolamine (MEA).",
Amyl Cinnamate,BAD,This fragrance ingredient can cause irritation when applied to skin.,
Apricot Kernel,BAD,"Often used as an abrasive agent in so-called ""natural"" scrubs.",
Asimina Triloba Fruit Extract,BAD,"This plant extract, also known as pawpaw, has antioxidant properties but can also irritate skin.",Hydration
Blue Tansy,BAD,"A potentially sensitizing, fragrant essential oil used for its colorant, scent, and antioxidant properties.",
Calendula Officinalis Flower Oil,BAD,The volatile oil taken from Calendula officinalis flowers. Contains skin-sensitizing fragrant compounds but also has antioxidant properties.,
Cocamide DEA And MEA,BAD,"Both cocamide DEA (diethanolamine) and MEA (monoethanolamine) are widely used ingredients to thicken the water phase of cosmetics, keep ingredients blended, and boost foaming properties...",
Colloidal Sulfur,BAD,"Possesses anti-acne properties but can also irritate skin when applied topically. Has smaller particles than sulfur, making it more potent.",Anti-Acne
Diamond Powder,BAD,Diamond powder is an abrasive mineral used in skin care products such as exfoliating cleansers where it provides buffing/scrubbing action.,
Diatomaceous Earth,BAD,Light-colored porous rock composed of the skeletons of minute sea creatures called diatoms.,
Diazolidinyl Urea,BAD,Water-soluble preservative.,
Dicalcium Phosphate,BAD,White powder that can be used to create abrasive formulations (not recommended) or can be formulated in a way that lends opacity to makeup (which is not problematic).,
Dimethyl MEA,BAD,"Controversial ingredient for skin because research has shown conflicting results. It seems to offer an initial benefit that improves skin firmness, but these results are short-lived and eventually give way to destruction of the substances in skin that help keep it firm.",
DMAE,BAD,"Controversial ingredient for skin because research has shown conflicting results. It seems to offer an initial benefit that improves skin firmness, but these results are short-lived and eventually give way to destruction of the substances in skin that help keep it firm.",
DMDM Hydantoin,BAD,Formaldehyde-releasing preservative.,
Farnesol,BAD,Extract of plants that is used in cosmetics primarily for fragrance.,
Farnesyl Acetate,BAD,Ingredient used in cosmetics primarily for fragrance.,
Formaldehyde-Releasing Preservative,BAD,Common type of preservative found in cosmetics.,
Geraniol,BAD,"A volatile fragrance ingredient extracted from geranium, geraniol is capable of causing sensitivity when applied to skin.",
Gold,BAD,Metallic element whose skin care benefits remain unproven. Potential source of skin irritation.,
Hoya Lacunosa Flower Extract,BAD,"Extract derived from the flowers of the Hoya lacunosa plant, whose fragrant compounds pose a risk of skin sensitization.",
Hydroxyethylpiperazine Ethane Sulfonic Acid,BAD,"Also known by the acronym HEPES, hydroxyethylpiperazine ethane sulfonic acid is a buffering ingredient typically used to establish a neutral pH in water-based solutions.",
Imidazolidinyl Urea,BAD,"Considered a weaker preservative than its ""cousin"" diazolidinyl urea.",
Iron Powder,BAD,"Iron powder is, as the name states, a powdered versoin of the mineral iron. A natural ingredient, it's used as an opacifying agent in cosmetics.",
MEA,BAD,Abbreviation for monoethanolamine.,
Melia Azadirachta Oil,BAD,"Plant-derived oil, AKA neem oil, that has potent active compounds that can sensitize skin.",
Methyldihydrojasmonate,BAD,"Methyldihydrojasmonate is a fragrant compound used in skin care for its floral, jasmine-like scent. Like other fragrances, it can cause skin sensitization.",
Mimosa Oil Or Extract,BAD,"Mimosa oil or extract are fragrant, antioxidant ingredients derived from the Acacia dealbata plant. Their aromatic compounds can cause skin sensitization.",
Myrtle Extract,BAD,"Antioxidant and antimicrobial ingredient, AKA Myrtus communis extract, that also contains volatile, sensitizing aromatic compounds.",
Myrtus Communis Extract,BAD,"Antioxidant and antimicrobial ingredient that contains volatile, sensitizing aromatic compounds.",
Neem Oil,BAD,"A plant oil derived from the seeds and fruit of the Melia azadirachta, AKA Azadirachta indica, tree. Can cause skin sensitization.",
Papaya Extract,BAD,"Extract that is the source of papain, which theoretically can have exfoliating properties on skin.",Smooths Bumpy Skin
Pawpaw Extract,BAD,This plant extract has antioxidant properties but can also irritate skin.,Hydration
Perfluorodecalin,BAD,"Solvent and texture-enhancing ingredient that increases oxygen to skin, which may actually boost the presence of reactive oxygen species (ROS) in skin—the very thing antioxidants fight against.",
Perfluorohexane,BAD,"Solvent and texture-enhancing ingredient that increases oxygen to skin, which may actually boost the presence of reactive oxygen species (ROS) in skin—the very thing antioxidants fight against.",
Phenylpropanol,BAD,Preservative and fragrant compound used as a masking scent in cosmetics. Potentially irritating to skin.,
Polyperfluoroperhydrophenanthrene,BAD,A solvent and potential PFAS that is often used as part of an ingredient blend.,
Polyvinyl Alcohol,BAD,"A synthetic polymer of vinyl alcohol that functions in cosmetics as a gel-based thickener, film-forming, and binding agent.",
Potassium Hydroxide,BAD,"Also known as lye, a highly alkaline ingredient used in small amounts in cosmetics.",
Potassium Myristate,BAD,Detergent cleansing agent that is a constituent of soap; it can be drying and aggravate skin for some.,
Quaternium-15,BAD,Formaldehyde-releasing preservative used in cosmetics. It can be a skin sensitizer.,
Quercus Robur (Oak) Root Extract,BAD,"A plant-derived ingredient rich in antioxidants that contains tannins, which denature proteins in skin’s surface, resulting in sensitization.",
Rosa Damascena Flower Water,BAD,"Fragrant solution obtained from the flowers of the damask rose, which poses a risk of irritation to skin.",
Sea Salt,BAD,"Can be effective as a topical scrub, but if left on skin it can increase the risk of a sensitized reaction.",Hydration
Silt,BAD,A sediment obtained from various bodies of water. Silt's absorbent nature helps it function to absorb excess surface oil.,"Oil Control, Hydration"
Sodium Laurate,BAD,This type of soap can cause irritation and lasting damage to skin’s barrier.,
Tanacetum Annuum Flower Oil,BAD,Fragrant essential oil (also known as blue tansy) that poses a risk of sensitizing skin.,
Vetiver Zizanoides Root Extract,BAD,Plant that may offer some beneficial properties but can also be a skin sensitizer due to fragrant components (depending on which part of the plant was used).,
Walnut Shell Powder,BAD,Abrasive used in scrub products; not preferred to polyethylene beads.,
Acetone,WORST,This solvent is commonly used as nail polish remover and can irritate skin and mucus membranes.,
Advanced Glycation Endproduct (AGE),WORST,"Advanced glycation endproducts, also known as AGEs, are caused by the body's major fuel source, namely glucose.",
Aerocarpus Santalinus,WORST,"Also known as red sandalwood, this fragrance ingredient poses a risk of irritating skin.",
AGE,WORST,"Advanced glycation endproducts are caused by the body's major fuel source, namely glucose.",
Albumen,WORST,Unknown,
Alkaline,WORST,Anything with a pH higher than 7 is alkaline; a pH below 7 is acidic.,
Alpha Isomethyl Ionone,WORST,This flavor and fragrance compound is well known for its sensitizing properties.,
Amyl Cinnamal,WORST,Volatile fragrance ingredient known to be sensitizing to skin. Should be avoided.,
Amyl Salicylate,WORST,Fragrant component.,
Amyris Oil,WORST,Fragrant oil. It has no other known benefit for skin.,
Anacyclus Pyrethrum,WORST,Plant whose root extract can cause skin sensitivity.,
Angelica Archangelica Root Oil,WORST,Volatile oil obtained from the angelica plant. The oil contains chemical constituents that can be phototoxic.,
Angelica Polymorpha Sinensis Root Extract,WORST,"This plant extract is related to ginger, and like ginger it poses a risk of irritating skin.",
Anisaldehyde,WORST,Synthetic fragrance used in cosmetics.,
Anise,WORST,"Also known as aniseed, it can have antioxidant properties.",
Arnica Extract,WORST,Extract from the plant Arnica montana.,
Awapuhi,WORST,English name for wild ginger.,
Balm Mint Extract,WORST,Extract derived from a fragrant plant; it poses some risk of causing skin sensitivity.,
Balsam Peru,WORST,Fatty resin that when applied topically can cause skin sensitivity.,
Bay Leaf Oil,WORST,Fragrant volatile oil and plant extract taken from the Laurus nobilis plant that can sensitize skin.,
Bee Pollen,WORST,Can have antioxidant properties.,Hydration
Benzoin Extract,WORST,Balsam resin that has some fragrant properties; it may also be sensitizing to skin.,
Benzyl Benzoate,WORST,Benzyl benzoate is a volatile fragrance ingredient and solvent with documented skin irritancy effects.,
Benzyl Salicylate,WORST,"A volatile fragrance chemical with a sweet, floral odor used to impart scent to cosmetic products and perfumes.",
Bergamot Oil,WORST,"A volatile citrus oil that, when used topically, is a photosensitizer.",
Bitter Orange Flower,WORST,"Used topically, this ingredient's methanol content makes it potentially sensitizing for skin.",
Black Locust Extract,WORST,"Extract that can have antioxidant properties, although it also may have harmful components.",
Black Pepper Extract And Oil,WORST,It can cause significant skin sensitivity...,
Bois De Rose Oil,WORST,Mainly used as a fragrance and flavoring ingredient; there's no research pertaining to its benefit for skin.,
Borate,WORST,Group of compounds used in cosmetics in small quantities primarily as pH adjusters.,
Borax,WORST,"Also known as sodium borate decahydrate, borax is a mineral composed of sodium, boron, oxygen, and water.",
Boswellia Carteri,WORST,"This volatile oil, also known as frankincense, can be a skin sensitizer. There is no evidence showing it has benefit for skin.",
Bronopol,WORST,"Technical name 2-bromo-2-nitropropane-1,3-diol, a formaldehyde-releasing preservative.",
Butylphenyl Methylpropional,WORST,Fragrant ingredient whose floral-like scent can cause skin irritation and may also pose health risks when inhaled.,
Cajeputi Oil,WORST,This oil is derived from a tree that is in the same plant family as the source of tea tree oil.,
Calamine,WORST,"Preparation of zinc carbonate, colored with ferric oxide (a form of rust).",
Camphor,WORST,Aromatic substance obtained from the wood of a tree common to Southeast Asia.,
Cananga Extract,WORST,"Fragrance used in cosmetics; it can be sensitizing to skin, much like ylang ylang.",
Cananga Odorata,WORST,"Fragrant, volatile oil (commonly known as ylang ylang) that can be a skin sensitizer.",
Cananga Odorata Flower Extract,WORST,"Fragrant, volatile oil that can also be a skin sensitizer.",
Capsaicin,WORST,"Component of capsicum. When used topically, capsaicin can prevent the transmission of pain.",
Capsicum,WORST,"Large group of plants consisting primarily of the pepper family, including chili peppers and...",
Capsicum Oleoresin,WORST,Fatty resin derived from capsicum plants. It can be sensitizing to skin.,
Cardamom,WORST,"Plant of the ginger family, used as fragrance in cosmetics.",
Carvone,WORST,Essential oil used as a flavoring agent and fragrance component in cosmetics.,
Cedarwood,WORST,Fragrant plant extract. There is evidence that cedarwood oil is sensitizing.,
Cedrus Atlantica Bark Extract,WORST,Fragrant oil that can aggravate skin.,
Cinnamomum,WORST,"Can have antioxidant properties when applied to skin, but can aggravate skin.",
Cinnamomum Camphora,WORST,The Latin name for a tree common to Southeast Asia. Its extracts have the potential to irritate skin.,
Cinnamon,WORST,"Can have antioxidant properties when applied to skin, but can aggravate skin.",
Cinnamyl Alcohol,WORST,A volatile fragrance ingredient that contains extracts from cinnamon and balsam of Peru.,
Citronellol,WORST,"A volatile fragrance chemical extracted from geranium, rose, and other plants, citronellol has a characteristic grassy, citrus-like scent.",
Citrullus Colocynthis,WORST,Bitter apple; considered sensitizing to skin.,
Citrus Amara,WORST,Potential skin irritant.,
Citrus Aurantifolia,WORST,"As with all citrus extracts, this has antioxidant properties, but also contains components that can sensitize skin.",
Citrus Aurantium,WORST,Fragrant plant that is most sensitizing to skin in its oil form.,
Citrus Aurantium Extract,WORST,Bitter orange extract whose methanol content is potentially sensitizing for skin.,
Citrus Medica Limonum,WORST,"Plant that produces juices, extracts and oils that can cause skin sensitization due to volatile fragrant compounds, acidity and photosensitive compounds.",
Citrus Reticulata (Tangerine) Leaf Oil,WORST,"Fragrant, volatile citrus oil that can be a skin sensitizer.",
Clary Oil,WORST,Used as fragrance; can be a skin sensitizer.,
Clove Leaf,WORST,"This leaf, its oil, and it extract can be potent skin sentizers when applied repeatedly.",
Clove Oil,WORST,Potent skin sensitizer when applied repeatedly.,
Clover Blossom,WORST,"Contains eugenol, which can be a skin sensitizer and cause photosensitivity.",
Clover Leaf Oil,WORST,Fragrant plant oil that has the potential to irritate skin.,
Coleus Barbatus,WORST,Member of the mint family and also known as forskolin; can be a skin sensitizer.,
Colloidal Silver,WORST,Refers to ground-up silver suspended in solution.,
Comfrey Extract,WORST,The alkaloid content of this extract means it has the potential to aggravate skin.,
Commiphora Myrrha Extract,WORST,Fragrant gum resin that can be a skin sensitizer.,
Copaifera Officinalis,WORST,Fatty resin that when applied topically can cause skin sensitivity.,
Cornmint,WORST,Also known as wild mint; it can be sensitizing to skin.,
Cyclamen Aldehyde,WORST,Synthetic fragrant component in products; it can aggravate skin.,
Cymbopogon Citrates,WORST,"Plant that can have beneficial properties, but it also may be a skin sensitizer.",
Cymbopogon Martini,WORST,"Plant that can have beneficial properties, but it also may be a skin sensitizer.",
Daucus Carota,WORST,"Also known as wild carrot. It can have antioxidant properties, but applied topically it can cause sensitivity.",
Denatured Alcohol,WORST,Denatured alcohol has solvent and texture-enhancing properties in cosmetics but has proven to damage and dehydrate skin.,
Dimethyl Ether,WORST,Colorless gas used as a propellant in aerosol products. It is potentially harmful if inhaled.,
Elecampane,WORST,Latin name Inula helenium; it is a plant that can be very sensitizing to the skin.,
English Ivy Extract,WORST,Plant extract that can be a skin sensitizer due to its stimulant and astringent (skin-constricting) properties.,
Environmental Damage,WORST,Occurrence that takes place at an atomic level and is a complex physiological process.,
Esculin,WORST,"Component of horse chestnut, it is considered harmful and is not recommended for skin.",
Essential Oil,WORST,"Also known as volatile oil, a fluid that is derived primarily from plants and used in cosmetics primarily as fragrance.",
Ethanol,WORST,Denatured alcohol used as a solvent. It can be drying and sensitizing to skin when one of the main ingredients in the formula.,
Ethylene Brassylate,WORST,"Synthetic fragrance ingredient used to impart a sweet, musky odor to cosmetics. Can irritate skin.",
Eucalyptus Extract,WORST,"Extract that may have beneficial properties on the skin. Despite those benefits, it's also a skin sensitizer, particularly on abraded skin.",
Eucalyptus Oil,WORST,Fragrant plant oil whose active constituents are found in the leaves and the oil obtained from them.,
Eugenia Aromatica,WORST,"Also known as clove, the leaf, oil, and extract from this plant can be potent skin sentizers when applied repeatedly.",
Eugenia Caryophyllus,WORST,"Potential skin sensitizer, especially in the oil form.",
Eugenol,WORST,Fragrance chemical that occurs naturally in some plant ingredients.,
Fennel Oil,WORST,"Volatile, fragrant oil that can cause skin sensitivity.",
Fennel Seed Extract,WORST,"Can have antioxidant properties, but on skin it can be a skin sensitizer.",
Ferula Galbaniflua,WORST,"Fragrant substance that, because of its resin and volatile oil content, can be extremely sensitizing.",
Fir Needle Oil,WORST,"Volatile, fragrant oil that can cause skin sensitivity.",
Floralozone,WORST,One of a number of synthetic fragrant components.,
Foeniculum Vulgare Extract,WORST,"Can have antioxidant properties, but on skin it can be a sensitizer.",
Fragrance,WORST,One or a blend of volatile and/or fragrant plant oils (or synthetically derived oils) that impart aroma and odor to products.,
Frankincense Extract,WORST,Fragrant component used in skin care products; it can be a skin sensitizer.,
Gardenia Florida Extract,WORST,Flower extract used in cosmetics to impart fragrance; also functions as an antioxidant.,
Gaultheria procumbens (wintergreen) leaf oil,WORST,A type of mint that is often used for addressing the discomfort of sore muscles but can also be very sensitizing to skin.,
Geranium Oil,WORST,Fragrant oil that can have beneficial properties but also can be a skin sensitizer.,
Geranium Pratense,WORST,Geranium plant.,
Ginger Oil,WORST,"A fragrant plant oil that, depending on the species, can contain dozens of volatile compounds that have a known or potential risk to sensitize skin.",
Grapefruit Oil,WORST,Citrus oil whose volatile components (chiefly substances known as furocoumarins) are sensitizing.,
Grapefruit Peel Extract,WORST,"Typically listed as Citrus paradisi (grapefruit) peel extract on ingredient lists, the peel from this fruit is loaded with a class of ingredients which are primarily responsible for what's known as a phototoxic reaction.",
Grapefruit Seed Extract,WORST,"Labelled as Citrus paradisi (grapefruit) seed extract, this is often claimed as a natural preservative.",
Hamamelis Virginiana,WORST,Plant extract that can deliver antioxidant properties but is also sensitizing if used repeatedly because it denatures proteins that help keep skin healthy.,Oil Control
Hamamelitannin,WORST,Tannin that is found in witch hazel. It can be a skin sensitizer but it also has antioxidant properties.,
Hayflower Extract,WORST,"Plant extract that, due to its constricting effect on skin, can be sensitizing.",
Hedera Helix,WORST,Plant extract that can be a skin sensitizer due to its stimulant and astringent (skin-constricting) properties.,
Hedione,WORST,"Synthetic fragrant component in products, which also can be a skin sensitizer.",
Hexyl Cinnamal,WORST,A fragrance ingredient used in many perfumes and often seen in fragranced skin care products.,
Horse Elder,WORST,Latin name Inula helenium; it is a plant that can be very sensitizing to the skin.,
Horseradish,WORST,Plant that can sensitize skin and should never be applied to abraded skin.,
Ho Wood Oil,WORST,A fragrant essential oil derived from the bark of the camphor tree that contains skin-sensitizing compounds like linalool and camphor.,
Hydnocarpus Anthelmintica,WORST,Potential skin irritant,
Hydrastis Canadenis,WORST,"Also known as goldenseal, this plant extract can irritate skin.",
Hydrogen Peroxide,WORST,There is a great deal of current research showing that hydrogen peroxide is problematic as a topically applied product.,
Hydroxycitronellal,WORST,Synthetic fragrance compound with a floral scent that’s derived from the volatile citronellol. It can cause skin sensitization.,
Illicium Verum Anise Fruit Extract,WORST,"Also known as aniseed, it can have antioxidant properties, but its fragrant components make this a potential skin sensitizer.",
Inula Helenium,WORST,This plant can be very sensitizing to the skin.,
Inula Helenium Extract,WORST,This plant extract can be very sensitizing to the skin.,
Iris Florentina Extract,WORST,Potential skin irritant due to its fragrant component.,
Iris Florentina Root,WORST,Used primarily as a fragrant component due to its violet-like scent.,
Irritants,WORST,"These ingredients, whether it’s noticeable or not, do damage to skin over time that can lead to increased dryness, breakouts, and redness.",
Isopropyl Alcohol,WORST,"Also known as rubbing alcohol, this type of alcohol is known to be drying/sensitizing to skin when listed among the main ingredients in a formula.",
Ivy Extract,WORST,Plant extract that can be sensitizing due to its astringent (skin-constricting) properties.,
Jasmine Oil,WORST,"Fragrant oil, often used as a source of perfume, that can be a skin sensitizer.",
Jasminium Grandiflorum,WORST,"Commonly known as jasmine, this contains volatile fragrance chemicals (chiefly linalool) that can be skin sensitizers.",
Jonquil Extract,WORST,Fragrant plant extract that poses a strong risk of skin sensitization.,
Juniper Berry,WORST,"This plant, can have soothing properties, but can result in skin sensitivity if applied repeatedly.",
Juniperus Communis,WORST,"This plant, also known as juniper, can have soothing properties, but can result in skin sensitivity if applied repeatedly.",
Kathon CG,WORST,"Combination of methylchloroisothiazolinone and methylisothiazolinone, which offers preservative benefit. Introduced into cosmetics in the mid-1970s, it elicited a great number of sensitizations in consumers. This led to it not being included in cosmetics other than rinse-off products.",
Kava-Kava Extract,WORST,A plant extract taken from the roots or stump of the Piper methysticum plant that causes skin sensitivity when applied or ingested.,
Kawa Extract,WORST,"Plant extract, AKA kava-kava extract, that can cause redness, itchiness and skin sensitivity when applied or ingested.",
Lady's Mantle Extract,WORST,"Plant extract with antioxidants, among them skin-sensitizing tannins.",
Laurus Nobilis,WORST,Plant whose extracts and oils contain volatile fragrant compounds that can cause skin irritation.,
Lavandin Oil,WORST,A hybrid lavender oil that contains volatile and skin-sensitizing aromatic compounds.,
Lavandula Angustifolia,WORST,"A plant, AKA lavender, whose aromatic extracts and oils can cause skin sensitization.",
Lavandula Officinalis,WORST,"Previous name for Lavandula angustifolia, AKA lavender. Contains volatile fragrant compounds that can sensitize skin.",
Lavender Extract And Oil,WORST,Fragrant ingredients taken from the Lavandula angustifolia plant that can cause skin sensitization.,
Lemon,WORST,"AKA Citrus limon and Citrus media limonum, lemon can cause skin sensitivity due to photosensitive compounds, it’s high acidity and volatile fragrance chemicals.",
Lemon Balm,WORST,"This type of herb comes from the mint family. Though it has antioxidant properties, it also poses a risk of skin irritation due to its fragrant components.",
Lemongrass Extract,WORST,"Extract that can have beneficial properties, but it also may be a skin sensitizer.",
Lemongrass Oil,WORST,Also known as Oil of Verbena; can be effective as a mosquito repellent.,
Lemon Juice,WORST,Highly acidic citrus based juice that can cause skin sensitization due to volatile compounds and a low pH.,
Lemon Oil,WORST,"Commonly used citrus oil that can be a skin sensitizer, especially on abraded skin.",
Levisticum Officinale Root Extract,WORST,"Plant extract, AKA lovage root extract, that contains volatile fragrant compounds known to irritate skin.",
Lime Oil And Extract,WORST,Citrus fruit whose volatile compounds are sensitizing.,
Limonene,WORST,A volatile chemical compound often found in citrus oils. It’s used as a fragrance and solvent but can sensitize skin.,
Linalool,WORST,"A plant-derived fragrant compound that can cause skin sensitization, especially when exposed to air.",
Litsea Cubeba,WORST,"The litsea or may chang plant produces fragrant essential oils whose aromatic compounds, like citral, are known to irritate skin.",
Litsea Cubeba Fruit Extract,WORST,Fragrant volatile oil and plant extract taken from the fruits of the Litsea cubeba plant that can sensitize skin.,
Lovage Root Extract,WORST,"Plant extract, AKA Levisticum officinale root extract, that contains volatile fragrant compounds known to irritate skin.",
Lye,WORST,A highly alkaline ingredient used in small amounts in cosmetics.,
Mandarin Orange Oil Or Extract,WORST,Primarily used as a fragrance; it can be a skin sensitizer.,
Marjoram,WORST,The essential oils and extracts taken from the Origanum majorana plant contain volatile aromatic compounds which can sensitize skin.,
